Vds,Id,Vgs
0.00E+00,2.11E-10,1.50E+00
2.00E-01,3.12E-08,1.50E+00
4.00E-01,3.15E-08,1.50E+00
6.00E-01,3.16E-08,1.50E+00
8.00E-01,3.18E-08,1.50E+00
1.00E+00,3.19E-08,1.50E+00
1.20E+00,3.21E-08,1.50E+00
1.40E+00,3.22E-08,1.50E+00
1.60E+00,3.23E-08,1.50E+00
1.80E+00,3.24E-08,1.50E+00
2.00E+00,3.25E-08,1.50E+00
2.20E+00,3.26E-08,1.50E+00
2.40E+00,3.27E-08,1.50E+00
2.60E+00,3.29E-08,1.50E+00
2.80E+00,3.29E-08,1.50E+00
3.00E+00,3.31E-08,1.50E+00
0.00E+00,6.45E-10,1.60E+00
2.00E-01,1.13E-07,1.60E+00
4.00E-01,1.14E-07,1.60E+00
6.00E-01,1.15E-07,1.60E+00
8.00E-01,1.16E-07,1.60E+00
1.00E+00,1.16E-07,1.60E+00
1.20E+00,1.17E-07,1.60E+00
1.40E+00,1.17E-07,1.60E+00
1.60E+00,1.18E-07,1.60E+00
1.80E+00,1.18E-07,1.60E+00
2.00E+00,1.19E-07,1.60E+00
2.20E+00,1.19E-07,1.60E+00
2.40E+00,1.20E-07,1.60E+00
2.60E+00,1.20E-07,1.60E+00
2.80E+00,1.20E-07,1.60E+00
3.00E+00,1.21E-07,1.60E+00
0.00E+00,2.18E-09,1.70E+00
2.00E-01,4.20E-07,1.70E+00
4.00E-01,4.26E-07,1.70E+00
6.00E-01,4.31E-07,1.70E+00
8.00E-01,4.34E-07,1.70E+00
1.00E+00,4.36E-07,1.70E+00
1.20E+00,4.39E-07,1.70E+00
1.40E+00,4.41E-07,1.70E+00
1.60E+00,4.43E-07,1.70E+00
1.80E+00,4.45E-07,1.70E+00
2.00E+00,4.47E-07,1.70E+00
2.20E+00,4.49E-07,1.70E+00
2.40E+00,4.50E-07,1.70E+00
2.60E+00,4.52E-07,1.70E+00
2.80E+00,4.54E-07,1.70E+00
3.00E+00,4.56E-07,1.70E+00
0.00E+00,9.93E-09,1.80E+00
2.00E-01,1.58E-06,1.80E+00
4.00E-01,1.61E-06,1.80E+00
6.00E-01,1.63E-06,1.80E+00
8.00E-01,1.64E-06,1.80E+00
1.00E+00,1.66E-06,1.80E+00
1.20E+00,1.67E-06,1.80E+00
1.40E+00,1.68E-06,1.80E+00
1.60E+00,1.68E-06,1.80E+00
1.80E+00,1.69E-06,1.80E+00
2.00E+00,1.70E-06,1.80E+00
2.20E+00,1.71E-06,1.80E+00
2.40E+00,1.72E-06,1.80E+00
2.60E+00,1.72E-06,1.80E+00
2.80E+00,1.73E-06,1.80E+00
3.00E+00,1.74E-06,1.80E+00
0.00E+00,3.54E-08,1.90E+00
2.00E-01,5.94E-06,1.90E+00
4.00E-01,6.09E-06,1.90E+00
6.00E-01,6.18E-06,1.90E+00
8.00E-01,6.23E-06,1.90E+00
1.00E+00,6.28E-06,1.90E+00
1.20E+00,6.33E-06,1.90E+00
1.40E+00,6.36E-06,1.90E+00
1.60E+00,6.40E-06,1.90E+00
1.80E+00,6.43E-06,1.90E+00
2.00E+00,6.47E-06,1.90E+00
2.20E+00,6.50E-06,1.90E+00
2.40E+00,6.53E-06,1.90E+00
2.60E+00,6.56E-06,1.90E+00
2.80E+00,6.59E-06,1.90E+00
3.00E+00,6.62E-06,1.90E+00
0.00E+00,1.09E-07,2.00E+00
2.00E-01,2.20E-05,2.00E+00
4.00E-01,2.27E-05,2.00E+00
6.00E-01,2.30E-05,2.00E+00
8.00E-01,2.33E-05,2.00E+00
1.00E+00,2.35E-05,2.00E+00
1.20E+00,2.37E-05,2.00E+00
1.40E+00,2.38E-05,2.00E+00
1.60E+00,2.40E-05,2.00E+00
1.80E+00,2.41E-05,2.00E+00
2.00E+00,2.42E-05,2.00E+00
2.20E+00,2.44E-05,2.00E+00
2.40E+00,2.45E-05,2.00E+00
2.60E+00,2.46E-05,2.00E+00
2.80E+00,2.47E-05,2.00E+00
3.00E+00,2.49E-05,2.00E+00
0.00E+00,1.52E-07,2.10E+00
2.00E-01,7.73E-05,2.10E+00
4.00E-01,8.04E-05,2.10E+00
6.00E-01,8.18E-05,2.10E+00
8.00E-01,8.28E-05,2.10E+00
1.00E+00,8.36E-05,2.10E+00
1.20E+00,8.42E-05,2.10E+00
1.40E+00,8.48E-05,2.10E+00
1.60E+00,8.54E-05,2.10E+00
1.80E+00,8.59E-05,2.10E+00
2.00E+00,8.64E-05,2.10E+00
2.20E+00,8.68E-05,2.10E+00
2.40E+00,8.73E-05,2.10E+00
2.60E+00,8.77E-05,2.10E+00
2.80E+00,8.82E-05,2.10E+00
3.00E+00,8.86E-05,2.10E+00
0.00E+00,1.12E-06,2.20E+00
2.00E-01,2.53E-04,2.20E+00
4.00E-01,2.66E-04,2.20E+00
6.00E-01,2.72E-04,2.20E+00
8.00E-01,2.75E-04,2.20E+00
1.00E+00,2.78E-04,2.20E+00
1.20E+00,2.80E-04,2.20E+00
1.40E+00,2.82E-04,2.20E+00
1.60E+00,2.84E-04,2.20E+00
1.80E+00,2.85E-04,2.20E+00
2.00E+00,2.87E-04,2.20E+00
2.20E+00,2.89E-04,2.20E+00
2.40E+00,2.90E-04,2.20E+00
2.60E+00,2.91E-04,2.20E+00
2.80E+00,2.93E-04,2.20E+00
3.00E+00,2.94E-04,2.20E+00
0.00E+00,2.43E-06,2.30E+00
2.00E-01,7.37E-04,2.30E+00
4.00E-01,7.83E-04,2.30E+00
6.00E-01,8.01E-04,2.30E+00
8.00E-01,8.11E-04,2.30E+00
1.00E+00,8.19E-04,2.30E+00
1.20E+00,8.26E-04,2.30E+00
1.40E+00,8.31E-04,2.30E+00
1.60E+00,8.36E-04,2.30E+00
1.80E+00,8.41E-04,2.30E+00
2.00E+00,8.46E-04,2.30E+00
2.20E+00,8.50E-04,2.30E+00
2.40E+00,8.54E-04,2.30E+00
2.60E+00,8.58E-04,2.30E+00
2.80E+00,8.62E-04,2.30E+00
3.00E+00,8.66E-04,2.30E+00
0.00E+00,5.00E-06,2.40E+00
2.00E-01,1.85E-03,2.40E+00
4.00E-01,2.00E-03,2.40E+00
6.00E-01,2.05E-03,2.40E+00
8.00E-01,2.07E-03,2.40E+00
1.00E+00,2.09E-03,2.40E+00
1.20E+00,2.11E-03,2.40E+00
1.40E+00,2.12E-03,2.40E+00
1.60E+00,2.14E-03,2.40E+00
1.80E+00,2.15E-03,2.40E+00
2.00E+00,2.16E-03,2.40E+00
2.20E+00,2.17E-03,2.40E+00
2.40E+00,2.18E-03,2.40E+00
2.60E+00,2.19E-03,2.40E+00
2.80E+00,2.20E-03,2.40E+00
3.00E+00,2.21E-03,2.40E+00
0.00E+00,8.25E-06,2.50E+00
2.00E-01,3.99E-03,2.50E+00
4.00E-01,4.39E-03,2.50E+00
6.00E-01,4.51E-03,2.50E+00
8.00E-01,4.57E-03,2.50E+00
1.00E+00,4.61E-03,2.50E+00
1.20E+00,4.65E-03,2.50E+00
1.40E+00,4.68E-03,2.50E+00
1.60E+00,4.70E-03,2.50E+00
1.80E+00,4.73E-03,2.50E+00
2.00E+00,4.75E-03,2.50E+00
2.20E+00,4.77E-03,2.50E+00
2.40E+00,4.79E-03,2.50E+00
2.60E+00,4.81E-03,2.50E+00
2.80E+00,4.83E-03,2.50E+00
3.00E+00,4.85E-03,2.50E+00
0.00E+00,1.13E-05,2.60E+00
2.00E-01,7.52E-03,2.60E+00
4.00E-01,8.51E-03,2.60E+00
6.00E-01,8.77E-03,2.60E+00
8.00E-01,8.90E-03,2.60E+00
1.00E+00,8.99E-03,2.60E+00
1.20E+00,9.05E-03,2.60E+00
1.40E+00,9.11E-03,2.60E+00
1.60E+00,9.16E-03,2.60E+00
1.80E+00,9.20E-03,2.60E+00
2.00E+00,9.24E-03,2.60E+00
2.20E+00,9.28E-03,2.60E+00
2.40E+00,9.32E-03,2.60E+00
2.60E+00,9.36E-03,2.60E+00
2.80E+00,9.39E-03,2.60E+00
3.00E+00,9.43E-03,2.60E+00
0.00E+00,1.59E-05,2.70E+00
2.00E-01,1.25E-02,2.70E+00
4.00E-01,1.47E-02,2.70E+00
6.00E-01,1.53E-02,2.70E+00
8.00E-01,1.55E-02,2.70E+00
1.00E+00,1.57E-02,2.70E+00
1.20E+00,1.58E-02,2.70E+00
1.40E+00,1.59E-02,2.70E+00
1.60E+00,1.60E-02,2.70E+00
1.80E+00,1.61E-02,2.70E+00
2.00E+00,1.61E-02,2.70E+00
2.20E+00,1.62E-02,2.70E+00
2.40E+00,1.63E-02,2.70E+00
2.60E+00,1.63E-02,2.70E+00
2.80E+00,1.64E-02,2.70E+00
3.00E+00,1.64E-02,2.70E+00
0.00E+00,2.24E-05,2.80E+00
2.00E-01,1.86E-02,2.80E+00
4.00E-01,2.31E-02,2.80E+00
6.00E-01,2.42E-02,2.80E+00
8.00E-01,2.47E-02,2.80E+00
1.00E+00,2.50E-02,2.80E+00
1.20E+00,2.51E-02,2.80E+00
1.40E+00,2.53E-02,2.80E+00
1.60E+00,2.54E-02,2.80E+00
1.80E+00,2.56E-02,2.80E+00
2.00E+00,2.57E-02,2.80E+00
2.20E+00,2.58E-02,2.80E+00
2.40E+00,2.59E-02,2.80E+00
2.60E+00,2.60E-02,2.80E+00
2.80E+00,2.61E-02,2.80E+00
3.00E+00,2.62E-02,2.80E+00
0.00E+00,2.58E-05,2.90E+00
2.00E-01,2.53E-02,2.90E+00
4.00E-01,3.34E-02,2.90E+00
6.00E-01,3.56E-02,2.90E+00
8.00E-01,3.63E-02,2.90E+00
1.00E+00,3.68E-02,2.90E+00
1.20E+00,3.71E-02,2.90E+00
1.40E+00,3.73E-02,2.90E+00
1.60E+00,3.75E-02,2.90E+00
1.80E+00,3.77E-02,2.90E+00
2.00E+00,3.78E-02,2.90E+00
2.20E+00,3.80E-02,2.90E+00
2.40E+00,3.81E-02,2.90E+00
2.60E+00,3.83E-02,2.90E+00
2.80E+00,3.84E-02,2.90E+00
3.00E+00,3.86E-02,2.90E+00
